employee_id,approver1_id,approver2_id,approver3_id
58,\N,\N,631
98,\N,\N,631
115,\N,\N,631
231,\N,\N,631
17,\N,102,231
102,\N,\N,231
409,\N,\N,231
50,\N,625,115
65,\N,625,115
287,50,625,115
288,50,625,115
377,50,625,115
384,\N,625,115
625,\N,\N,115
20,\N,\N,102
24,\N,28,102
28,\N,\N,102
59,\N,28,102
82,\N,\N,102
113,\N,28,102
126,24,28,102
286,24,28,102
391,24,28,102
419,24,28,102
445,24,28,102
13,22,214,98
18,\N,125,98
22,\N,214,98
26,\N,125,98
34,26,125,98
35,26,125,98
42,22,214,98
43,45,125,98
44,45,125,98
45,\N,125,98
46,45,125,98
51,\N,\N,98
54,26,125,98
55,\N,125,98
56,\N,125,98
70,26,125,98
74,\N,125,98
83,45,125,98
84,45,125,98
93,26,125,98
105,26,125,98
116,45,125,98
121,26,125,98
124,\N,125,98
125,\N,\N,98
149,26,125,98
150,26,125,98
151,45,125,98
153,26,125,98
155,26,125,98
159,45,125,98
163,26,125,98
182,\N,214,98
185,26,125,98
197,45,125,98
211,\N,214,98
214,\N,\N,98
222,45,125,98
232,26,125,98
233,26,125,98
238,45,125,98
239,\N,214,98
255,22,214,98
260,22,214,98
271,45,125,98
297,22,214,98
306,22,214,98
310,26,125,98
316,22,214,98
321,22,214,98
339,22,214,98
350,22,214,98
354,22,214,98
388,22,214,98
402,22,214,98
403,22,214,98
404,22,214,98
405,22,214,98
411,22,214,98
412,22,214,98
422,26,125,98
455,22,214,98
498,26,125,98
503,45,125,98
515,22,214,98
520,45,125,98
530,45,125,98
531,26,125,98
532,26,125,98
536,26,125,98
544,45,125,98
549,22,214,98
555,45,125,98
557,45,125,98
568,22,214,98
575,22,214,98
578,45,125,98
590,22,214,98
592,22,214,98
593,26,125,98
604,26,125,98
606,26,125,98
616,22,214,98
621,26,125,98
627,22,214,98
636,26,125,98
637,26,125,98
638,45,125,98
639,26,125,98
643,26,125,98
648,22,214,98
649,45,125,98
650,26,125,98
653,22,214,98
654,45,125,98
655,45,125,98
656,26,125,98
658,26,125,98
660,22,214,98
661,45,125,98
662,45,125,98
663,26,125,98
664,45,125,98
665,45,125,98
667,45,125,98
122,\N,\N,58
178,122,\N,58
396,122,\N,58
424,122,\N,58
529,122,\N,58
669,122,\N,58
609,325,\N,17
9,\N,231,16
10,\N,231,16
14,\N,\N,10
41,\N,\N,10
94,\N,\N,10
195,\N,\N,10
303,\N,\N,10
304,\N,\N,10
400,\N,\N,10
420,\N,195,10
483,\N,195,10
485,\N,195,10
517,\N,\N,10
526,\N,\N,10
579,\N,\N,10
622,\N,195,10
635,\N,\N,10
666,\N,\N,10
325,\N,\N,9
